id,product,msrp,dept,description,thumb,vendor
12,Dish Towels,56.76,20,"These absorbent dish towels are perfect for drying dishes and wiping up kitchen messes. Made from 100% cotton, they are soft and gentle on dishes, yet durable and absorbent. They feature a classic striped design, perfect for adding a stylish touch to any kitchen.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,5ee822bb-e5c9-4025-90e3-03da75069795
13,Gaming Console,943.17,22,"A gaming console is a device designed for interactive video gaming and entertainment. It typically consists of a console unit, a controller and various input and output devices. It is used to play a wide range of video game genres, including action, adventure, racing, sports, puzzle and strategy. Some consoles also offer multimedia functions such as streaming media and playback of music and movies.",http://dummyimage.com/250x250.png/cc0000/ffffff,1567c824-ad9f-4ec5-8a4c-06b46a1600b2
14,Video Game,766.23,22,"Video Game is an interactive digital game in which players use controllers to manipulate images on a video screen. Players are usually rewarded with points or virtual rewards for completing certain tasks and can compete against each other or against the computer. Video games are available on a variety of platforms, including computers, video game consoles, mobile devices and virtual reality headsets.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,60949481-739b-4ff4-992e-af360c977755
15,Stuffed Animal,599.21,4,"This adorable stuffed animal is perfect for cuddling! Its soft fur and bright colors make it a great companion for any child. Its friendly face is sure to bring a smile to your little one's face. Perfect as a gift or as an addition to your home, this stuffed animal will bring joy to any household.",http://dummyimage.com/250x250.png/ff4444/ffffff,5ee822bb-e5c9-4025-90e3-03da75069795
16,100 pc Puzzle,655.1,4,"This 100 pc Puzzle is perfect for young children, featuring a bright and vibrant design of animals and nature. It has large pieces that are easy to grip and manipulate, stimulating children’s problem-solving skills and helping to develop their manual dexterity and hand-eye coordination. It also encourages creative thinking and teaches patience and perseverance as children figure out how to build the puzzle.",http://dummyimage.com/250x250.png/dddddd/000000,a9465726-600c-40f6-8703-2b35c63fe26a
17,250 pc Puzzle,159.23,4,"This 250 pc puzzle is the perfect way to challenge yourself or your family. Featuring a vibrant, high-resolution image, this puzzle is sure to bring hours of fun and entertainment as you work to piece it together. With 250 pieces, it's the perfect amount of difficulty for all ages. Enjoy the satisfaction of completing this puzzle and the beautiful result it will bring.",http://dummyimage.com/250x250.png/ff4444/ffffff,951d32f1-2118-4237-a7a6-6e7d62df03f4
18,500 pc Puzzle,217.55,4,"This 500-piece puzzle is perfect for puzzlers of all ages. Featuring a vibrant image with a variety of colors and shapes, this puzzle is sure to challenge and entertain. The pieces are crafted from sturdy cardboard and fit together perfectly for hours of fun. With such a large variety of pieces, you’ll never run out of new combinations to try. Get ready to create a masterpiece!",http://dummyimage.com/250x250.png/dddddd/000000,304ed7f9-da38-4e8e-a344-d3128f03757f
19,1000 pc Puzzle,129.99,4,"This 1000 piece jigsaw puzzle is a great way to challenge and entertain the whole family. Featuring a beautiful image of a vibrant landscape, this puzzle is sure to keep everyone busy for hours. Each piece is precisely cut to fit together perfectly, making it a fun and rewarding experience to assemble. This puzzle is perfect for family game nights or just to relax and de-stress.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,304ed7f9-da38-4e8e-a344-d3128f03757f
20,Gas-powered Tiller,990.18,3,"The Gas-powered Tiller is a gardening tool designed to loosen soil and cultivate weeds. It is powered by an efficient 4-stroke engine that provides maximum power, enabling it to tackle even the toughest of soils. The tiller features adjustable tilling depth and width, allowing you to customize it to your specific needs. The ergonomic design makes it comfortable and easy to use, while the lightweight construction makes it easy to transport and store. This reliable tiller is the perfect tool for any gardening enthusiast looking to take their garden to the next level.",http://dummyimage.com/250x250.png/dddddd/000000,5ee822bb-e5c9-4025-90e3-03da75069795
21,Electric Tiller,244.7,3,"The Electric Tiller is a powerful and versatile tool, perfect for tackling tough gardening jobs. It is equipped with a reliable motor and a sturdy frame, designed to make tilling soil a breeze. With adjustable handles and adjustable tines, it is easy to customize the tilling depth to fit your needs. The tiller also comes with a wheel kit, making it easy to move around the garden. This electric tiller is perfect for quickly breaking up soil, aerating soil, and preparing beds for planting.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,660e5be3-1eb5-40d4-bb3a-d5aceb0169d0
22,Lawnmower,722.94,3,"This lawnmower is a powerful and efficient tool for keeping your lawn looking its best. It features a high-performance engine and a large cutting deck that makes mowing your lawn quick and easy. The adjustable cutting height and ergonomic handle allow you to easily maneuver and customize the perfect cut. It also has a grass catcher bag to help keep your lawn clean and tidy. With its durable construction and reliable performance, this lawnmower is perfect for keeping your lawn looking great.",http://dummyimage.com/250x250.png/dddddd/000000,a57ab777-fc6b-4b16-87e9-11d86756a4ed
23,Chainsaw,529.84,7,"A chainsaw is a portable, mechanical saw which cuts with a set of teeth attached to a rotating chain that runs along a guide bar. It is used in activities such as tree felling, limbing, bucking, pruning, cutting firebreaks in wildland fire suppression, and harvesting of firewood.",http://dummyimage.com/250x250.png/ff4444/ffffff,304ed7f9-da38-4e8e-a344-d3128f03757f
24,Rake,910.62,7,"Rake is a versatile and sturdy garden tool designed for gathering leaves, collecting debris, and loosening soil. It features a long handle with a wide head of flexible tines that work together to quickly and efficiently move material from one place to another. This lightweight and durable tool is ideal for use in gardens, yards, and other outdoor spaces.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,cc095fc2-c2e6-42bb-9f33-00b97679d7cf
25,Shovel,48.73,7,"The Shovel is a heavy duty, multi-purpose tool that is perfect for digging, moving dirt, and other gardening or landscaping tasks. It is made with a strong and durable steel head and a comfortable wooden handle for easy gripping. The Shovel is strong enough to handle tough tasks, yet lightweight enough for easy transport and storage.",http://dummyimage.com/250x250.png/cc0000/ffffff,60949481-739b-4ff4-992e-af360c977755
26,Axe,465.35,7,"Axe is a men’s grooming brand offering a range of products designed to help men look and feel their best. The brand emphasizes confident and stylish looks, and its products range from body wash and deodorant to hair gels and styling products. Axe also produces body sprays, colognes, and perfumes for men, helping to create a signature scent that lasts all day.",http://dummyimage.com/250x250.png/cc0000/ffffff,660e5be3-1eb5-40d4-bb3a-d5aceb0169d0
27,Hatchet,473.49,7,"Hatchet is a tool designed for outdoor use. It is a versatile tool that can be used to chop wood, cut branches, and split logs. Its sharp blade is made of durable steel and its handle is comfortable to hold. It is a great tool for camping, hiking, and other outdoor activities.",http://dummyimage.com/250x250.png/dddddd/000000,649e5207-2f58-44ae-9438-805e9cdfd565
28,Aspirin,280.01,19,"Aspirin is a non-steroidal anti-inflammatory drug used to relieve pain, fever, and inflammation. It is also used to reduce the risk of heart attack, stroke, and other cardiovascular diseases. Aspirin works by blocking the production of prostaglandins, which are hormone-like substances that can cause inflammation and pain. Aspirin is available in tablet, capsule, and liquid forms. It is important to follow the instructions provided by your doctor when taking Aspirin.",http://dummyimage.com/250x250.png/ff4444/ffffff,5ee822bb-e5c9-4025-90e3-03da75069795
29,Ibuprofen,266.15,19,"Ibuprofen is a non-steroidal anti-inflammatory drug (NSAID) used to treat pain, fever, and inflammation. It is available in both over-the-counter (OTC) and prescription strength. Ibuprofen works by blocking the production of certain hormones that cause pain, fever, and inflammation. It can be used to treat a wide range of conditions, including headaches, muscle aches, arthritis, menstrual cramps, and toothaches. It can also be used to reduce fever and relieve the pain and swelling associated with many types of injuries.",http://dummyimage.com/250x250.png/ff4444/ffffff,efe9cb28-52d2-4d3a-9cac-64be6c198379
30,Band-aids,799.72,19,"Band-aids are adhesive bandages used to cover minor cuts and scrapes. They are made of flexible material and come in a variety of shapes and sizes to accommodate different body parts. Band-aids feature a strong adhesive backing that keeps them securely in place, providing a barrier against infection and helping to protect the wound from dirt and germs. They are easy to apply and remove, and can be used on both children and adults.",http://dummyimage.com/250x250.png/dddddd/000000,60949481-739b-4ff4-992e-af360c977755
31,Gauze,929.49,19,"Gauze is a lightweight, open-weave fabric used to dress wounds and make bandages. It is made of cotton or synthetic fibers and is used in medical settings to absorb fluid, protect and cover wounds, and provide air circulation. It is also used in clothing and other fabric-related items.",http://dummyimage.com/250x250.png/ff4444/ffffff,1567c824-ad9f-4ec5-8a4c-06b46a1600b2
32,Car Battery,564.38,17,"This car battery is a reliable power source for your vehicle. It provides a strong, consistent power supply for your car's electrical system, allowing it to start quickly and run smoothly. The battery is designed for long-lasting performance, with a durable construction that can withstand tough conditions. With the included warranty, you can be sure that your car battery will be a reliable source of power for your vehicle.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,4f9e3977-77fe-46ca-9af6-78f47659e872
33,Blush,449.72,18,"Blush is a cosmetic product designed to give the cheeks a natural, rosy glow. It can be used to contour, highlight, and add color to the cheeks for a more defined look. Blush can be applied with a brush, sponge, or fingers, and comes in a variety of shades to suit any skin tone.",http://dummyimage.com/250x250.png/cc0000/ffffff,1567c824-ad9f-4ec5-8a4c-06b46a1600b2
34,Tent,34.47,14,"A tent is a shelter consisting of sheets of fabric or other material draped over, attached to a frame of poles or attached to a supporting rope. Tents are typically used for recreational camping and are usually waterproof and durable.",http://dummyimage.com/250x250.png/ff4444/ffffff,1567c824-ad9f-4ec5-8a4c-06b46a1600b2
35,Propane Stove,546.71,14,"The Propane Stove is a powerful and efficient cooking appliance that uses propane as its fuel source. It is easy to use and offers precise temperature control with an adjustable flame, allowing you to cook a wide variety of meals quickly and evenly. It is great for outdoor cooking, camping, or simply cooking at home. It is lightweight and portable, making it easy to take along with you on any adventure.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,a1c1d3a4-bbf8-40d1-ae81-5d0a1e95ccb1
36,Flashlight,729.36,14,"This flashlight is a powerful, multi-functional light source featuring a long-lasting LED bulb, adjustable brightness settings, and a convenient carabiner clip for easy carrying. It is lightweight and compact, making it perfect for camping, hiking, and other outdoor activities. With its durable design and water-resistant casing, this flashlight is sure to provide reliable illumination for any situation.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,1567c824-ad9f-4ec5-8a4c-06b46a1600b2
37,Diapers,114.35,6,"Diapers are an essential item for keeping babies comfortable and dry. They are designed to be highly absorbent and comfortable for a baby's sensitive skin. Diapers come in various sizes, styles and materials to suit your needs. They are also available in a range of colors and patterns to suit your baby's personal style.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,efe9cb28-52d2-4d3a-9cac-64be6c198379
38,Pacifier,225.99,6,"The Pacifier is an essential item for parents with babies and toddlers. It is designed to soothe your child and keep them from crying and fussing. This pacifier is made from high-quality materials and comes in a variety of colors and styles to suit your child's needs. It is also BPA-free and easy to clean, making it safe and convenient for your child's use.",http://dummyimage.com/250x250.png/ff4444/ffffff,304ed7f9-da38-4e8e-a344-d3128f03757f
39,Crib,272.76,6,"The Crib is a safe and comfortable sleeping solution for infants and toddlers. It features a sturdy and durable construction built with high-quality materials, and a curved headboard with a modern look. The crib comes with adjustable mattress heights, so you can find the perfect sleeping position for your little one. It also includes a detachable side rail for easy transfers in and out of the crib, and an integrated storage drawer for extra items. This Crib is designed to provide a safe and secure sleeping environment for your little one.",http://dummyimage.com/250x250.png/cc0000/ffffff,5ee822bb-e5c9-4025-90e3-03da75069795
40,Digital Song,930.72,15,"Digital Song is a digital music service that makes it easy to discover, purchase and listen to your favorite songs. With an extensive library of millions of songs, Digital Song makes it easy to find the perfect track for any moment. Whether you’re looking for the latest hits or a classic favorite, Digital Song has it all. With access to a range of genres, you can find the perfect song for any occasion. Enjoy unlimited access to your favorite songs and start building your music library today.",http://dummyimage.com/250x250.png/cc0000/ffffff,28293e64-b077-495a-9571-9114853d9fd4
41,Digital Album,731.36,15,"This digital album contains a collection of your favorite songs, all in one convenient package. It features high-quality audio recordings and comes with a variety of bonus features, including lyrics, artist bios, and music videos. Enjoy hours of your favorite music anytime, anywhere.",http://dummyimage.com/250x250.png/cc0000/ffffff,26f23d8e-4589-4d31-89c6-0d76b3b26c3e
42,Hammer,634.96,7,"A hammer is a tool consisting of a weighted head fixed to a long handle that is swung to deliver an impact to a small area of an object. This tool is commonly used for driving in nails, fitting parts, and breaking apart objects. Hammers vary in size, weight, and design depending on the task they are used for.",http://dummyimage.com/250x250.png/dddddd/000000,28293e64-b077-495a-9571-9114853d9fd4
43,Drill,654.28,7,"The Drill is a handheld power tool that is used to make holes in various materials such as wood, metal, plastic, and concrete. It is powered by an electric motor, which rotates a drill bit at high speed. It is used for a variety of projects such as drilling holes for screws, making pilot holes for larger screws, drilling into masonry, and creating grooves in wood. It is a versatile and powerful tool that is essential for any workshop or construction project.",http://dummyimage.com/250x250.png/dddddd/000000,04bd1e91-2672-4ccb-90bf-6569adb0fb58
44,Screwdriver,263.2,7,"This screwdriver is a handy tool that makes it easy to drive screws into any type of material. It features a comfortable handle with a rubber grip, a strong shaft made of stainless steel, and a precision-ground tip that is designed to fit into most screw heads. This screwdriver is perfect for any home, office, or workshop and is sure to make any job easier.",http://dummyimage.com/250x250.png/ff4444/ffffff,304ed7f9-da38-4e8e-a344-d3128f03757f
45,Pliers,457.61,7,"Pliers are a versatile tool used for gripping and manipulating objects. They are typically composed of two metal arms connected at a pivot point, with a gripping end at one end and a cutting end at the other. Pliers are used in a variety of applications, such as gripping, cutting, bending, and twisting wire, rods, and other objects.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,26f23d8e-4589-4d31-89c6-0d76b3b26c3e
46,Socket Wrench,806.27,7,"A socket wrench is a tool used for turning fasteners, such as nuts and bolts. It consists of a handle, usually made of steel, with a socket head at one end that fits over the fastener. The handle provides leverage to help turn the fastener. Socket wrenches are available in a variety of sizes and designs, making them ideal for a wide range of applications, from light-duty home repairs to heavy-duty industrial work.",http://dummyimage.com/250x250.png/ff4444/ffffff,5ee822bb-e5c9-4025-90e3-03da75069795
47,Tile Cutter,271.16,7,"The Tile Cutter is a powerful and reliable tool designed for cutting and trimming ceramic and porcelain tiles quickly and accurately. It features a durable, heavy-duty steel body for long-lasting durability, adjustable cutting depth for precise cuts, a comfortable ergonomic grip for easy handling, and a built-in scoring wheel for clean and precise cuts. The Tile Cutter is perfect for DIYers and professionals alike and is ideal for tiling projects of any size.",http://dummyimage.com/250x250.png/dddddd/000000,34095b1b-54d8-4dfd-a2d2-69c541f12a02
48,Sandpaper,42.38,7,"Sandpaper is an abrasive material used for smoothing and shaping wood, metal, and other surfaces. It is available in a variety of grit sizes and grades, and is used with sanding blocks, sanding machines, and other tools. It is often used to remove rust, paint, and other materials from surfaces, as well as to create a smooth and uniform finish on wood and other materials.",http://dummyimage.com/250x250.png/dddddd/000000,304ed7f9-da38-4e8e-a344-d3128f03757f
49,Glue,950.99,7,"Glue is an adhesive material used to stick two or more objects together. It can be applied in a liquid, paste, or powder form, and is often made from materials such as polymers, proteins, or natural resins. Glue can be used in a variety of applications, from crafting to industrial uses, and is available in a wide range of strengths and viscosities.",http://dummyimage.com/250x250.png/cc0000/ffffff,26f23d8e-4589-4d31-89c6-0d76b3b26c3e
50,Screws,313.11,7,"Screws are small metal fasteners used to join two or more objects together by inserting the pointed end into a pre-drilled hole and tightening it with a screwdriver or wrench. They are available in a variety of sizes and materials, including steel, brass, aluminum, and stainless steel.",http://dummyimage.com/250x250.png/cc0000/ffffff,a57ab777-fc6b-4b16-87e9-11d86756a4ed
51,Nails,641.03,7,"Nails are small, pointed metal fasteners used to join objects together or to hang objects up. They can be made of steel, copper, aluminum, and other metals. Nails are available in various shapes and sizes and are used in a variety of applications, including construction, carpentry, and metalworking.",http://dummyimage.com/250x250.png/ff4444/ffffff,26f23d8e-4589-4d31-89c6-0d76b3b26c3e
52,Guitar,807.36,15,"This guitar is a great choice for any aspiring musician looking to take their music to the next level. It features a classic design with a sleek, modern finish, and its sound is rich and full-bodied. It is constructed from high-quality materials and is designed to withstand years of use. With its comfortable neck and easy-to-play action, this guitar is perfect for beginners and experienced musicians alike.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,1609973d-4460-4d54-91d7-d643f5da5e21
53,Bass Guitar,208.0,15,"A bass guitar is a stringed instrument usually played with the fingers or a pick. It is the lowest-pitched member of the guitar family and is typically used to provide rhythm and basslines in a musical ensemble. Bass guitars come in a variety of shapes and sizes, and range from beginner-friendly instruments to pro-level models suitable for studio and gigging musicians.",http://dummyimage.com/250x250.png/cc0000/ffffff,713b1c90-ea24-4a3a-acc9-26c6d873a9e0
54,Keyboard,631.83,15,"The Keyboard is a device used to enter text and symbols into a computer or other electronic device. It is composed of keys that are pressed to type letters, numbers, and other symbols. Keyboards are essential for many tasks, such as typing documents and filling out forms. They come in a range of sizes and styles, with features such as backlighting, multimedia keys, and programmable buttons.",http://dummyimage.com/250x250.png/cc0000/ffffff,5ee822bb-e5c9-4025-90e3-03da75069795
55,Keytar,909.56,15,"The Keytar is an electronic musical instrument that combines elements of both a keyboard and a guitar. It features a traditional keyboard-style layout and is typically held in a standing position, similar to an electric guitar. The Keytar is a great choice for aspiring musicians and experienced performers alike, allowing for expressive and dynamic playing with its range of features, such as volume and pitch control, programmable sounds, and MIDI support.",http://dummyimage.com/250x250.png/ff4444/ffffff,29615784-5d94-4303-a657-e95a3a55d978
56,Guitar Strap,900.05,15,"This guitar strap is designed to provide comfort and support for your guitar. Made from durable nylon webbing, it is adjustable to fit most guitars, and features a comfortable leather end tab to ensure a secure fit. The length is adjustable from 33"" to 55"" and the width is 2"". The guitar strap is available in a variety of colors, so you can find the perfect one to match your guitar.",http://dummyimage.com/250x250.png/dddddd/000000,951d32f1-2118-4237-a7a6-6e7d62df03f4
57,Guitar Pick,44.15,15,"Guitar Pick is a small, thin piece of plastic or other material used to pluck the strings of a guitar. It is usually triangular in shape, with the tip rounded off to make it easier to play. Guitar picks come in different sizes, thicknesses, and materials, allowing the player to choose one that best suits their playing style.",http://dummyimage.com/250x250.png/ff4444/ffffff,cc095fc2-c2e6-42bb-9f33-00b97679d7cf
58,Tuner,426.39,15,The Tuner is a device designed to accurately tune musical instruments. It utilizes advanced audio processing technology to detect and analyze the sound of a musical instrument and then adjusts the pitch accordingly. It is easy to use and offers quick and accurate results. The Tuner is perfect for musicians of any skill level.,http://dummyimage.com/250x250.png/ff4444/ffffff,1609973d-4460-4d54-91d7-d643f5da5e21
59,Digital Camera,743.82,8,"The Digital Camera is a high-quality device designed to capture stunning photos and videos in a variety of settings. It features a powerful image processor and advanced optics, allowing for clear and sharp photos and videos even in low-light conditions. Its intuitive menu and easy-to-use controls make it an ideal choice for beginners and professionals alike. With its wide range of features and settings, the Digital Camera is the perfect companion for any photographer.",http://dummyimage.com/250x250.png/ff4444/ffffff,40728e54-2f5b-4d94-b425-ae4069e9f87e
60,Digital Picture Frame,96.02,8,"The Digital Picture Frame is a modern and stylish way to display your favorite photos and videos. It features a high-resolution LCD display and adjustable settings to customize your viewing experience. This frame allows you to easily upload your images and videos directly from your computer or smartphone, and the intuitive user interface makes it easy to navigate through your collection. You can also share your memories with friends and family by connecting it to your Wi-Fi network or Bluetooth. With its sleek design and vibrant colors, the Digital Picture Frame is the perfect addition to any home.",http://dummyimage.com/250x250.png/dddddd/000000,660e5be3-1eb5-40d4-bb3a-d5aceb0169d0
61,Golf Balls (3 pc),506.65,10,"This 3-pack of golf balls is perfect for the avid golfer. Made with a durable, two-piece construction and featuring a high-visibility, bright color, these golf balls are designed to provide maximum distance and accuracy. The advanced core technology ensures a consistent flight and improved feel. With these golf balls, you can take your game to the next level.",http://dummyimage.com/250x250.png/dddddd/000000,8c94be6d-5c89-4bd6-bc74-f513326bc696
62,Golf Balls (12 pc),705.37,10,"This pack of 12 golf balls offers excellent quality and performance. The balls are designed to maximize distance, accuracy, and spin and feature a 2-piece construction, low compression core and durable cut-proof cover. The balls are perfect for golfers of all skill levels, allowing you to play your best game.",http://dummyimage.com/250x250.png/ff4444/ffffff,1567c824-ad9f-4ec5-8a4c-06b46a1600b2
63,Softball Helmet,111.84,10,"This softball helmet is designed to provide maximum protection and comfort for the wearer. It features a durable shell and a comfortable, breathable inner liner. It features a soft padding for extra cushioning and adjustable straps for a snug and secure fit. Its strong construction and lightweight design make it ideal for any softball player.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,a9465726-600c-40f6-8703-2b35c63fe26a
64,Softball,13.45,10,"Softball is a popular sport that combines the rules of baseball and the speed of fast-pitch. It is played on a smaller diamond with a bigger, softer ball and a shorter pitching distance. The game is perfect for all ages and skill levels, and is a great way to get outside and enjoy a competitive game.",http://dummyimage.com/250x250.png/cc0000/ffffff,304ed7f9-da38-4e8e-a344-d3128f03757f
65,Baseball,564.01,10,"Baseball is a popular bat-and-ball game played between two teams of nine players each. The aim of the game is to score points by hitting a ball with a bat and running around a series of four bases arranged in a diamond shape. A game of baseball typically consists of nine innings, during which each team attempts to score runs by hitting the ball and running around the bases. The team with the most runs at the end of the game is declared the winner. Baseball is a sport enjoyed by people of all ages, and is a great way to stay active and have fun.",http://dummyimage.com/250x250.png/cc0000/ffffff,28293e64-b077-495a-9571-9114853d9fd4
66,T-Ball,733.3,10,"T-Ball is designed to help children learn the basics of baseball while having fun. It is a lightweight, soft, foam ball that is easy to hit. It is perfect for young children who are just starting to learn the game of baseball. It can be used indoors or outdoors, and is great for teaching hand-eye coordination and motor skills.",http://dummyimage.com/250x250.png/cc0000/ffffff,649e5207-2f58-44ae-9438-805e9cdfd565
67,Soccer Ball,61.33,10,"This Soccer Ball is a great choice for playing soccer. It is made with a durable outer shell and comes with a soft inner lining for added comfort. The ball is designed for high performance, with an aerodynamic shape for improved flight and control. It is perfect for any level of soccer play, from recreational to professional.",http://dummyimage.com/250x250.png/dddddd/000000,304ed7f9-da38-4e8e-a344-d3128f03757f
68,Lacrosse Stick,476.6,10,"The Lacrosse Stick is an essential tool for any lacrosse player. It is made from lightweight, durable materials and features an ergonomic design for maximum control and comfort during play. The stick is designed for use with a wide range of lacrosse balls and features a deep, scooped pocket that is perfect for catching, carrying, and shooting. The stick also features a long, tapered handle for excellent control and accuracy. With its lightweight construction, the Lacrosse Stick is perfect for any level of lacrosse player.",http://dummyimage.com/250x250.png/dddddd/000000,40728e54-2f5b-4d94-b425-ae4069e9f87e
69,Football Helmet,876.34,10,"This football helmet is designed to provide superior protection and comfort for football players. It features a lightweight, yet strong, shell that is designed to absorb and disperse impact energy and protect against head injuries. It also has a comfortable lining, adjustable straps, and an adjustable chin strap for the best possible fit. The helmet is available in multiple colors and sizes.",http://dummyimage.com/250x250.png/dddddd/000000,713b1c90-ea24-4a3a-acc9-26c6d873a9e0
70,Shoulder Pads,139.33,10,Shoulder pads are designed to provide protection and support for the shoulders and upper body. They are typically made from foam and other breathable materials to offer comfort and cushioning during physical activities and sports. They help to reduce the risk of shoulder injuries and allow for increased mobility and flexibility. The shoulder pads are perfect for any athlete or active individual looking for additional shoulder protection.,http://dummyimage.com/250x250.png/dddddd/000000,649e5207-2f58-44ae-9438-805e9cdfd565
71,Football Tee,228.39,10,"Our Football Tee is perfect for any football lover. Featuring a comfortable fit and bold graphics, this t-shirt is a great way to show your team spirit. Made from a durable, lightweight fabric, this tee will keep you cool and comfortable throughout the game. Whether you're heading to the stadium or watching from home, the Football Tee is sure to become a fan favorite.",http://dummyimage.com/250x250.png/ff4444/ffffff,28293e64-b077-495a-9571-9114853d9fd4
72,Golf Tees,721.71,10,"Golf tees are small, pointed pieces of wood or plastic used to hold a golf ball off the ground when teeing off. They are an essential part of the game of golf and are used to give the player the best possible start to their shot. Golf tees come in a variety of sizes, styles and materials, and can be used on most types of grass.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,304ed7f9-da38-4e8e-a344-d3128f03757f
73,Practice Mat,223.62,10,"This practice mat is perfect for any musician looking to perfect their skills. It provides a large, cushioned surface for playing various instruments, including drums, keyboards, and guitars. The mat is lightweight and portable, making it easy to transport to your practice space. It also has a non-slip backing, so it won't slide around while you play. With this practice mat, you'll be able to practice your favorite tunes any time, anywhere.",http://dummyimage.com/250x250.png/cc0000/ffffff,713b1c90-ea24-4a3a-acc9-26c6d873a9e0
